GEOID,var,est,moe,description,source
13059000100,Age05,48,54,Age under 5 years,"American Community Survey, 5 year sample, 2014-2018"
13059000100,Age18_24,1594,318,Age 18-64,"American Community Survey, 5 year sample, 2014-2018"
13059000100,AgeO65,7,44,Age 65 and older,"American Community Survey, 5 year sample, 2014-2018"
13059000100,AgeU18,61,59,Age under 18,"American Community Survey, 5 year sample, 2014-2018"
13059000100,Ed_ba,94,50,Highest educational attainment: Bachelor's degree,"American Community Survey, 5 year sample, 2014-2018"
13059000100,Ed_hsgrad,49,23,Highest educational attainment: High school diploma or GED,"American Community Survey, 5 year sample, 2014-2018"
13059000100,Ed_lesshs,12,17,Highest educational attainment: Less than high school graduate,"American Community Survey, 5 year sample, 2014-2018"
13059000100,Ed_ma,19,16,Highest educational attainment: MA degree,"American Community Survey, 5 year sample, 2014-2018"
13059000100,Ed_prof_doc,28,20,Highest educational attainment: Professional degree/Doctorate,"American Community Survey, 5 year sample, 2014-2018"
13059000100,Ed_somecol,52,26,Highest educational attainment: Some college or Associate's Degree,"American Community Survey, 5 year sample, 2014-2018"
13059000100,Empl_labor,746,171,Population in labor force,"American Community Survey, 5 year sample, 2014-2018"
13059000100,Empl_unemp,80,62,Population unemployed,"American Community Survey, 5 year sample, 2014-2018"
13059000100,HInsur_FBNat,17,15,Has health insurance foreign born and naturalized,"American Community Survey, 5 year sample, 2014-2018"
13059000100,HInsur_FBNC,13,14,Has health insurance foreign born non-citizen,"American Community Survey, 5 year sample, 2014-2018"
13059000100,HInsur_Nat,1701,289,Has health insurance native born,"American Community Survey, 5 year sample, 2014-2018"
13059000100,HousOwn,57,32,Population in owner occupied housing,"American Community Survey, 5 year sample, 2014-2018"
13059000100,HousRent,1744,306,Population in renter occupied housing,"American Community Survey, 5 year sample, 2014-2018"
13059000100,Inc_10K,380,95,"Household income < $10,000","American Community Survey, 5 year sample, 2014-2018"
13059000100,Inc_200K,13,12,"Household income > $200,000","American Community Survey, 5 year sample, 2014-2018"
13059000100,Inc100K_149K,0,18,"Household income $100,000 - $149,999","American Community Survey, 5 year sample, 2014-2018"
13059000100,Inc10K_24K,201,72,"Household income $10,000 - $24,999","American Community Survey, 5 year sample, 2014-2018"
13059000100,Inc150K_199K,4,6,"Houshold income $150,000 - $199,999","American Community Survey, 5 year sample, 2014-2018"
13059000100,Inc25K_49K,98,49,"Household income $25,000 - $49,999","American Community Survey, 5 year sample, 2014-2018"
13059000100,Inc50K_74K,31,25,"Household income $50,000 - $74,999","American Community Survey, 5 year sample, 2014-2018"
13059000100,Inc75K_99K,11,13,"Houshold income $75,000 - $99,999","American Community Survey, 5 year sample, 2014-2018"
13059000100,Ind_ag,0,13,"Population employed in agriculture, forestry, fishing, and hunting","American Community Survey, 5 year sample, 2014-2018"
13059000100,Ind_arts,199,76,"Population employed in arts, entertainment, and recreation","American Community Survey, 5 year sample, 2014-2018"
13059000100,Ind_const,4,8,Population employed in construction,"American Community Survey, 5 year sample, 2014-2018"
13059000100,Ind_edhlth,226,92,"Population employed in educational services, health care, or social assistance","American Community Survey, 5 year sample, 2014-2018"
13059000100,Ind_finan,29,19,"Population employed in finance, insurance, and real estate","American Community Survey, 5 year sample, 2014-2018"
13059000100,Ind_info,3,5,Population employed in information,"American Community Survey, 5 year sample, 2014-2018"
13059000100,Ind_manf,0,13,Population employed in manufacturing,"American Community Survey, 5 year sample, 2014-2018"
13059000100,Ind_other,43,46,Population employed in other services,"American Community Survey, 5 year sample, 2014-2018"
13059000100,Ind_prof,63,38,"Population employed in professional, scientific and management, administration, or waste services","American Community Survey, 5 year sample, 2014-2018"
13059000100,Ind_pubad,19,31,Population employed in public administration,"American Community Survey, 5 year sample, 2014-2018"
13059000100,Ind_retail,58,39,Population employed in retail,"American Community Survey, 5 year sample, 2014-2018"
13059000100,Ind_trans,25,31,"Population employed in transportation, warehousing, and utilites","American Community Survey, 5 year sample, 2014-2018"
13059000100,Ind_whlsl,0,13,Population employed in wholesale trade,"American Community Survey, 5 year sample, 2014-2018"
13059000100,Inet_any,637,98,Internet: households with any subscription,"American Community Survey, 5 year sample, 2014-2018"
13059000100,Inet_broad,573,99,Internet: households with broadband,"American Community Survey, 5 year sample, 2014-2018"
13059000100,Pov_Ov65,7,9,Poverty over 65,"American Community Survey, 5 year sample, 2014-2018"
13059000100,Pov_Und18,51,76,Poverty under 18,"American Community Survey, 5 year sample, 2014-2018"
13059000100,Rce_AI,0,13,American Indian/non-Hispanic population,"American Community Survey, 5 year sample, 2014-2018"
13059000100,Rce_AsnNH,25,21,Asian non-Hispanic population,"American Community Survey, 5 year sample, 2014-2018"
13059000100,Rce_BlkNH,167,111,Black non-Hispanic pouplation,"American Community Survey, 5 year sample, 2014-2018"
13059000100,Rce_Hisp,61,34,Hispanic/Latinx population,"American Community Survey, 5 year sample, 2014-2018"
13059000100,Rce_HPI,0,13,Hawaiian/Pacific Islander population,"American Community Survey, 5 year sample, 2014-2018"
13059000100,Rce_OthNH,0,13,Other race non-Hispanic,"American Community Survey, 5 year sample, 2014-2018"
13059000100,Rce_WhtNH,1590,284,White non-Hispanic population,"American Community Survey, 5 year sample, 2014-2018"
13059000100,Rent30,485,85,Housing stressed: rent > 30% of income,"American Community Survey, 5 year sample, 2014-2018"
13059000100,Sch_grad,214,73,Enrolled in grad school,"American Community Survey, 5 year sample, 2014-2018"
13059000100,Sch_Kpre,0,18,Enrolled in nursery school and kindergarten,"American Community Survey, 5 year sample, 2014-2018"
13059000100,Sch_ugrad,1366,276,Total in undergraduate,"American Community Survey, 5 year sample, 2014-2018"
13059000100,Trn_car,432,150,"Commute: used car, truck, or van alone","American Community Survey, 5 year sample, 2014-2018"
13059000100,Trn_carpool,23,30,Commute: carpooled in car,"American Community Survey, 5 year sample, 2014-2018"
13059000100,Trn_home,23,19,Commute: Worked at home,"American Community Survey, 5 year sample, 2014-2018"
13059000100,Trn_noveh,34,31,Commute: no available vehicle,"American Community Survey, 5 year sample, 2014-2018"
13059000100,Trn_pub,0,13,Commute: used public transit,"American Community Survey, 5 year sample, 2014-2018"
13059000100,Trn_taxi,0,13,"Commute: other--taxi, motorcycle, or bicycle","American Community Survey, 5 year sample, 2014-2018"
13059000100,Trn_walk,137,53,Walked to work,"American Community Survey, 5 year sample, 2014-2018"
13059000401,Age05,132,53,Age under 5 years,"American Community Survey, 5 year sample, 2014-2018"
13059000401,Age18_24,458,129,Age 18-64,"American Community Survey, 5 year sample, 2014-2018"
13059000401,AgeO65,31,46,Age 65 and older,"American Community Survey, 5 year sample, 2014-2018"
13059000401,AgeU18,212,98,Age under 18,"American Community Survey, 5 year sample, 2014-2018"
13059000401,Ed_ba,217,59,Highest educational attainment: Bachelor's degree,"American Community Survey, 5 year sample, 2014-2018"
13059000401,Ed_hsgrad,43,29,Highest educational attainment: High school diploma or GED,"American Community Survey, 5 year sample, 2014-2018"
13059000401,Ed_lesshs,14,15,Highest educational attainment: Less than high school graduate,"American Community Survey, 5 year sample, 2014-2018"
13059000401,Ed_ma,299,72,Highest educational attainment: MA degree,"American Community Survey, 5 year sample, 2014-2018"
13059000401,Ed_prof_doc,87,40,Highest educational attainment: Professional degree/Doctorate,"American Community Survey, 5 year sample, 2014-2018"
13059000401,Ed_somecol,56,37,Highest educational attainment: Some college or Associate's Degree,"American Community Survey, 5 year sample, 2014-2018"
13059000401,Empl_labor,714,106,Population in labor force,"American Community Survey, 5 year sample, 2014-2018"
13059000401,Empl_unemp,15,15,Population unemployed,"American Community Survey, 5 year sample, 2014-2018"
13059000401,HInsur_FBNat,37,40,Has health insurance foreign born and naturalized,"American Community Survey, 5 year sample, 2014-2018"
