School,SchoolID,Mschool,Latitude,Longitude,Hschool,var,est,moe
Alps Road,1,Clarke Middle,33.9439455234,-83.4075447231,Clarke Central,P1CRIME,9910.1,-99
Barnett Shoals,2,Hilsman,33.9025447139,-83.3379342984,Cedar Shoals,P1CRIME,3630.92,-99
Barrow,3,Clarke Middle,33.9415178881,-83.3829765063,Clarke Central,P1CRIME,4022.34,-99
Choice Zone-West,4,BHL,34.000537,-83.425467,Clarke Central,P1CRIME,4335.36,-99
Chase Street,5,Clarke Middle,33.9647436136,-83.3941499392,Clarke Central,P1CRIME,6851.07,-99
Cleveland Road,6,BHL,33.9669974517,-83.5054071061,Clarke Central,P1CRIME,9614.76,-99
Fowler Drive,7,Coile,33.989722456,-83.3621713671,Cedar Shoals,P1CRIME,8699.06,-99
Gaines,8,Hilsman,33.9297014825,-83.3372271615,Cedar Shoals,P1CRIME,8757.7,-99
Howard B Stroud,9,Coile,33.9734994485,-83.3586638456,Cedar Shoals,P1CRIME,10086.16,-99
Judia Jackson Harris,10,Coile,34.0097015792,-83.3452724549,Cedar Shoals,P1CRIME,5254.66,-99
Choice Zone-East,11,Hilsman,33.9353184771,-83.3256712448,Cedar Shoals,P1CRIME,8107.34,-99
Oglethorpe,12,BHL,33.9633574328,-83.4224229953,Clarke Central,P1CRIME,5695.38,-99
Timothy Rd.,13,Clarke Middle,33.9373269012,-83.4457597895,Clarke Central,P1CRIME,4381.21,-99
Whit Davis,14,Hilsman,33.9040036439,-83.3175820991,Cedar Shoals,P1CRIME,1730.82,-99
Whitehead Rd.,15,BHL,33.9810945049,-83.435788007,Clarke Central,P1CRIME,3913.63,-99
Winterville,16,Coile,33.9697303743,-83.2894646812,Cedar Shoals,P1CRIME,5883.14,-99
Alps Road,1,Clarke Middle,33.9439455234,-83.4075447231,Clarke Central,P2CRIME,13920.44,-99
Barnett Shoals,2,Hilsman,33.9025447139,-83.3379342984,Cedar Shoals,P2CRIME,4270.91,-99
Barrow,3,Clarke Middle,33.9415178881,-83.3829765063,Clarke Central,P2CRIME,7207.07,-99
Choice Zone-West,4,BHL,34.000537,-83.425467,Clarke Central,P2CRIME,7220.24,-99
Chase Street,5,Clarke Middle,33.9647436136,-83.3941499392,Clarke Central,P2CRIME,7879.87,-99
Cleveland Road,6,BHL,33.9669974517,-83.5054071061,Clarke Central,P2CRIME,6218.31,-99
Fowler Drive,7,Coile,33.989722456,-83.3621713671,Cedar Shoals,P2CRIME,10113.14,-99
Gaines,8,Hilsman,33.9297014825,-83.3372271615,Cedar Shoals,P2CRIME,13332.55,-99
Howard B Stroud,9,Coile,33.9734994485,-83.3586638456,Cedar Shoals,P2CRIME,13680.43,-99
Judia Jackson Harris,10,Coile,34.0097015792,-83.3452724549,Cedar Shoals,P2CRIME,6485.1,-99
Choice Zone-East,11,Hilsman,33.9353184771,-83.3256712448,Cedar Shoals,P2CRIME,13059.71,-99
Oglethorpe,12,BHL,33.9633574328,-83.4224229953,Clarke Central,P2CRIME,7103.49,-99
Timothy Rd.,13,Clarke Middle,33.9373269012,-83.4457597895,Clarke Central,P2CRIME,4100.1,-99
Whit Davis,14,Hilsman,33.9040036439,-83.3175820991,Cedar Shoals,P2CRIME,2392.55,-99
Whitehead Rd.,15,BHL,33.9810945049,-83.435788007,Clarke Central,P2CRIME,4508.41,-99
Winterville,16,Coile,33.9697303743,-83.2894646812,Cedar Shoals,P2CRIME,5686.6,-99
Alps Road,1,Clarke Middle,33.9439455234,-83.4075447231,Clarke Central,SAFO,367.16,-99
Barnett Shoals,2,Hilsman,33.9025447139,-83.3379342984,Cedar Shoals,SAFO,132.62,-99
Barrow,3,Clarke Middle,33.9415178881,-83.3829765063,Clarke Central,SAFO,128.45,-99
Choice Zone-West,4,BHL,34.000537,-83.425467,Clarke Central,SAFO,286.14,-99
Chase Street,5,Clarke Middle,33.9647436136,-83.3941499392,Clarke Central,SAFO,245.76,-99
Cleveland Road,6,BHL,33.9669974517,-83.5054071061,Clarke Central,SAFO,233.15,-99
Fowler Drive,7,Coile,33.989722456,-83.3621713671,Cedar Shoals,SAFO,316.6,-99
Gaines,8,Hilsman,33.9297014825,-83.3372271615,Cedar Shoals,SAFO,434.89,-99
Howard B Stroud,9,Coile,33.9734994485,-83.3586638456,Cedar Shoals,SAFO,438.03,-99
Judia Jackson Harris,10,Coile,34.0097015792,-83.3452724549,Cedar Shoals,SAFO,299.83,-99
Choice Zone-East,11,Hilsman,33.9353184771,-83.3256712448,Cedar Shoals,SAFO,445.16,-99
