"","ES_TRACT","ELEMSCH","SchoolID","School","TRACTID","GISJOIN_TC","POPRATIO"
"1","ALPS ROAD ELEMENTARY_G1300590000600","ALPS ROAD ELEMENTARY",1,"Alps Road",13059000600,"G1300590000600",0.17
"2","ALPS ROAD ELEMENTARY_G1300590000900","ALPS ROAD ELEMENTARY",1,"Alps Road",13059000900,"G1300590000900",0.76
"3","ALPS ROAD ELEMENTARY_G1300590001200","ALPS ROAD ELEMENTARY",1,"Alps Road",13059001200,"G1300590001200",0.68
"4","ALPS ROAD ELEMENTARY_G1300590001700","ALPS ROAD ELEMENTARY",1,"Alps Road",13059001700,"G1300590001700",0.02
"5","ALPS ROAD ELEMENTARY_G1300590002000","ALPS ROAD ELEMENTARY",1,"Alps Road",13059002000,"G1300590002000",0.53
"6","BARNETT SHOALS ELEMENTARY_G1300590150400","BARNETT SHOALS ELEMENTARY",2,"Barnett Shoals",13059150400,"G1300590150400",0.59
"7","BARNETT SHOALS ELEMENTARY_G1300590150500","BARNETT SHOALS ELEMENTARY",2,"Barnett Shoals",13059150500,"G1300590150500",1
"8","BARNETT SHOALS ELEMENTARY_G1300590150800","BARNETT SHOALS ELEMENTARY",2,"Barnett Shoals",13059150800,"G1300590150800",0.29
"9","BARNETT SHOALS ELEMENTARY_G1300590150900","BARNETT SHOALS ELEMENTARY",2,"Barnett Shoals",13059150900,"G1300590150900",0.64
"10","BARROW ELEMENTARY_G1300590000100","BARROW ELEMENTARY",3,"Barrow",13059000100,"G1300590000100",0.99
"11","BARROW ELEMENTARY_G1300590000401","BARROW ELEMENTARY",3,"Barrow",13059000401,"G1300590000401",1
"12","BARROW ELEMENTARY_G1300590000402","BARROW ELEMENTARY",3,"Barrow",13059000402,"G1300590000402",1
"13","BARROW ELEMENTARY_G1300590000600","BARROW ELEMENTARY",3,"Barrow",13059000600,"G1300590000600",0.53
"14","BARROW ELEMENTARY_G1300590001200","BARROW ELEMENTARY",3,"Barrow",13059001200,"G1300590001200",0.32
"15","BARROW ELEMENTARY_G1300590001900","BARROW ELEMENTARY",3,"Barrow",13059001900,"G1300590001900",0.27
"16","BARROW ELEMENTARY_G1300590002000","BARROW ELEMENTARY",3,"Barrow",13059002000,"G1300590002000",0.47
"17","BARROW ELEMENTARY_G1300590002100","BARROW ELEMENTARY",3,"Barrow",13059002100,"G1300590002100",1
"18","BARROW ELEMENTARY_G1300590002200","BARROW ELEMENTARY",3,"Barrow",13059002200,"G1300590002200",1
"19","BARROW ELEMENTARY_G1300590030100","BARROW ELEMENTARY",3,"Barrow",13059030100,"G1300590030100",0.01
"20","BARROW ELEMENTARY_G1300590150400","BARROW ELEMENTARY",3,"Barrow",13059150400,"G1300590150400",0.41
"21","CHASE STREET ELEMENTARY_G1300590000600","CHASE STREET ELEMENTARY",5,"Chase Street",13059000600,"G1300590000600",0.3
"22","CHASE STREET ELEMENTARY_G1300590000900","CHASE STREET ELEMENTARY",5,"Chase Street",13059000900,"G1300590000900",0.23
"23","CHASE STREET ELEMENTARY_G1300590001700","CHASE STREET ELEMENTARY",5,"Chase Street",13059001700,"G1300590001700",0.05
"24","CHASE STREET ELEMENTARY_G1300590001800","CHASE STREET ELEMENTARY",5,"Chase Street",13059001800,"G1300590001800",1
"25","CHASE STREET ELEMENTARY_G1300590001900","CHASE STREET ELEMENTARY",5,"Chase Street",13059001900,"G1300590001900",0.73
"26","CHASE STREET ELEMENTARY_G1300590130300","CHASE STREET ELEMENTARY",5,"Chase Street",13059130300,"G1300590130300",0.05
"27","MAXINE PINSON EASOM ELEMENTARY_G1300590150600","Choice Zone-East",11,"Choice Zone-East",13059150600,"G1300590150600",0.41
"28","MAXINE PINSON EASOM ELEMENTARY_G1300590150700","Choice Zone-East",11,"Choice Zone-East",13059150700,"G1300590150700",0.72
"29","MAXINE PINSON EASOM ELEMENTARY_G1300590150800","Choice Zone-East",11,"Choice Zone-East",13059150800,"G1300590150800",0.09
"30","C SCHOOL_G1300590130300","Choice Zone-West",4,"Choice Zone-West",13059130300,"G1300590130300",0.95
