GEOID,NAME,variable,estimate,moe,source
13059150701,"Census Tract 1507.01, Clarke County, Georgia",B01001_003,69,56,"American Community Survey, 5 year sample, 
                                2016-2020"
13059150701,"Census Tract 1507.01, Clarke County, Georgia",B01001_004,92,68,"American Community Survey, 5 year sample, 
                                2016-2020"
13059150701,"Census Tract 1507.01, Clarke County, Georgia",B01001_005,156,112,"American Community Survey, 5 year sample, 
                                2016-2020"
13059150701,"Census Tract 1507.01, Clarke County, Georgia",B01001_006,16,27,"American Community Survey, 5 year sample, 
                                2016-2020"
13059150701,"Census Tract 1507.01, Clarke County, Georgia",B01001_007,1,9,"American Community Survey, 5 year sample, 
                                2016-2020"
13059150701,"Census Tract 1507.01, Clarke County, Georgia",B01001_008,121,104,"American Community Survey, 5 year sample, 
                                2016-2020"
13059150701,"Census Tract 1507.01, Clarke County, Georgia",B01001_009,144,206,"American Community Survey, 5 year sample, 
                                2016-2020"
13059150701,"Census Tract 1507.01, Clarke County, Georgia",B01001_010,261,155,"American Community Survey, 5 year sample, 
                                2016-2020"
13059150701,"Census Tract 1507.01, Clarke County, Georgia",B01001_011,202,130,"American Community Survey, 5 year sample, 
                                2016-2020"
13059150701,"Census Tract 1507.01, Clarke County, Georgia",B01001_012,87,63,"American Community Survey, 5 year sample, 
                                2016-2020"
13059150701,"Census Tract 1507.01, Clarke County, Georgia",B01001_013,176,144,"American Community Survey, 5 year sample, 
                                2016-2020"
13059150701,"Census Tract 1507.01, Clarke County, Georgia",B01001_014,96,88,"American Community Survey, 5 year sample, 
                                2016-2020"
13059150701,"Census Tract 1507.01, Clarke County, Georgia",B01001_015,31,39,"American Community Survey, 5 year sample, 
                                2016-2020"
13059150701,"Census Tract 1507.01, Clarke County, Georgia",B01001_016,67,45,"American Community Survey, 5 year sample, 
                                2016-2020"
13059150701,"Census Tract 1507.01, Clarke County, Georgia",B01001_017,85,72,"American Community Survey, 5 year sample, 
                                2016-2020"
13059150701,"Census Tract 1507.01, Clarke County, Georgia",B01001_018,87,100,"American Community Survey, 5 year sample, 
                                2016-2020"
13059150701,"Census Tract 1507.01, Clarke County, Georgia",B01001_019,24,29,"American Community Survey, 5 year sample, 
                                2016-2020"
13059150701,"Census Tract 1507.01, Clarke County, Georgia",B01001_020,35,31,"American Community Survey, 5 year sample, 
                                2016-2020"
13059150701,"Census Tract 1507.01, Clarke County, Georgia",B01001_021,78,40,"American Community Survey, 5 year sample, 
                                2016-2020"
13059150701,"Census Tract 1507.01, Clarke County, Georgia",B01001_022,55,46,"American Community Survey, 5 year sample, 
                                2016-2020"
13059150701,"Census Tract 1507.01, Clarke County, Georgia",B01001_023,33,31,"American Community Survey, 5 year sample, 
                                2016-2020"
13059150701,"Census Tract 1507.01, Clarke County, Georgia",B01001_024,35,29,"American Community Survey, 5 year sample, 
                                2016-2020"
13059150701,"Census Tract 1507.01, Clarke County, Georgia",B01001_025,37,29,"American Community Survey, 5 year sample, 
                                2016-2020"
13059150701,"Census Tract 1507.01, Clarke County, Georgia",B01001_027,55,58,"American Community Survey, 5 year sample, 
                                2016-2020"
13059150701,"Census Tract 1507.01, Clarke County, Georgia",B01001_028,69,69,"American Community Survey, 5 year sample, 
                                2016-2020"
13059150701,"Census Tract 1507.01, Clarke County, Georgia",B01001_029,58,73,"American Community Survey, 5 year sample, 
                                2016-2020"
13059150701,"Census Tract 1507.01, Clarke County, Georgia",B01001_030,101,93,"American Community Survey, 5 year sample, 
                                2016-2020"
13059150701,"Census Tract 1507.01, Clarke County, Georgia",B01001_031,57,67,"American Community Survey, 5 year sample, 
                                2016-2020"
13059150701,"Census Tract 1507.01, Clarke County, Georgia",B01001_032,0,14,"American Community Survey, 5 year sample, 
                                2016-2020"
13059150701,"Census Tract 1507.01, Clarke County, Georgia",B01001_033,109,88,"American Community Survey, 5 year sample, 
                                2016-2020"
13059150701,"Census Tract 1507.01, Clarke County, Georgia",B01001_034,134,82,"American Community Survey, 5 year sample, 
                                2016-2020"
13059150701,"Census Tract 1507.01, Clarke County, Georgia",B01001_035,348,206,"American Community Survey, 5 year sample, 
                                2016-2020"
13059150701,"Census Tract 1507.01, Clarke County, Georgia",B01001_036,128,77,"American Community Survey, 5 year sample, 
                                2016-2020"
13059150701,"Census Tract 1507.01, Clarke County, Georgia",B01001_037,193,157,"American Community Survey, 5 year sample, 
                                2016-2020"
13059150701,"Census Tract 1507.01, Clarke County, Georgia",B01001_038,220,153,"American Community Survey, 5 year sample, 
                                2016-2020"
13059150701,"Census Tract 1507.01, Clarke County, Georgia",B01001_039,82,73,"American Community Survey, 5 year sample, 
                                2016-2020"
13059150701,"Census Tract 1507.01, Clarke County, Georgia",B01001_040,126,101,"American Community Survey, 5 year sample, 
                                2016-2020"
13059150701,"Census Tract 1507.01, Clarke County, Georgia",B01001_041,200,121,"American Community Survey, 5 year sample, 
                                2016-2020"
13059150701,"Census Tract 1507.01, Clarke County, Georgia",B01001_042,27,30,"American Community Survey, 5 year sample, 
                                2016-2020"
13059150701,"Census Tract 1507.01, Clarke County, Georgia",B01001_043,82,46,"American Community Survey, 5 year sample, 
                                2016-2020"
