GEOID,var,est,moe,type,description,source
13059000100,Age05,40,48,count,Age under 5 years,"American Community Survey, 5 year sample, 2016-2020"
13059000100,Age18_24,2141,368,count,Age 18-24,"American Community Survey, 5 year sample, 2016-2020"
13059000100,Age18_64,2460,376,count,Age 18-64,"American Community Survey, 5 year sample, 2016-2020"
13059000100,AgeO65,39,56,count,Age 65 and older,"American Community Survey, 5 year sample, 2016-2020"
13059000100,AgeU18,49,55,count,Age under 18,"American Community Survey, 5 year sample, 2016-2020"
13059000100,Ed_ba,88,47,count,Highest educational attainment: Bachelor's degree,"American Community Survey, 5 year sample, 2016-2020"
13059000100,Ed_hsgrad,44,29,count,Highest educational attainment: High school diploma or GED,"American Community Survey, 5 year sample, 2016-2020"
13059000100,Ed_lesshs,22,12,count,Highest educational attainment: Less than high school graduate,"American Community Survey, 5 year sample, 2016-2020"
13059000100,Ed_ma,12,13,count,Highest educational attainment: MA degree,"American Community Survey, 5 year sample, 2016-2020"
13059000100,Ed_prof_doc,172,163,count,Highest educational attainment: Professional degree/Doctorate,"American Community Survey, 5 year sample, 2016-2020"
13059000100,Ed_somecol,21,16,count,Highest educational attainment: Some college or Associate's Degree,"American Community Survey, 5 year sample, 2016-2020"
13059000100,Empl_labor,982,199,count,Population in labor force,"American Community Survey, 5 year sample, 2016-2020"
13059000100,Empl_unemp,80,72,count,Population unemployed,"American Community Survey, 5 year sample, 2016-2020"
13059000100,HInsur_FBNat,60,44,count,Has health insurance foreign born and naturalized,"American Community Survey, 5 year sample, 2016-2020"
13059000100,HInsur_FBNC,39,32,count,Has health insurance foreign born non-citizen,"American Community Survey, 5 year sample, 2016-2020"
13059000100,HInsur_Nat,2267,335,count,Has health insurance native born,"American Community Survey, 5 year sample, 2016-2020"
13059000100,HousOwn,61,54,count,Population in owner occupied housing,"American Community Survey, 5 year sample, 2016-2020"
13059000100,HousRent,2373,287,count,Population in renter occupied housing,"American Community Survey, 5 year sample, 2016-2020"
13059000100,Inc_10K,533,131,count,"Household income < $10,000","American Community Survey, 5 year sample, 2016-2020"
13059000100,Inc_200K,23,25,count,"Household income > $200,000","American Community Survey, 5 year sample, 2016-2020"
13059000100,Inc100K_149K,43,68,count,"Household income $100,000 - $149,999","American Community Survey, 5 year sample, 2016-2020"
13059000100,Inc10K_24K,211,73,count,"Household income $10,000 - $24,999","American Community Survey, 5 year sample, 2016-2020"
13059000100,Inc150K_199K,5,8,count,"Houshold income $150,000 - $199,999","American Community Survey, 5 year sample, 2016-2020"
13059000100,Inc25K_49K,125,66,count,"Household income $25,000 - $49,999","American Community Survey, 5 year sample, 2016-2020"
13059000100,Inc50K_74K,37,25,count,"Household income $50,000 - $74,999","American Community Survey, 5 year sample, 2016-2020"
13059000100,Inc75K_99K,0,14,count,"Houshold income $75,000 - $99,999","American Community Survey, 5 year sample, 2016-2020"
13059000100,Ind_ag,0,14,count,"Population employed in agriculture, forestry, fishing, and hunting","American Community Survey, 5 year sample, 2016-2020"
13059000100,Ind_arts,251,101,count,"Population employed in arts, entertainment, and recreation","American Community Survey, 5 year sample, 2016-2020"
