GEOID,var,type,var_type,value
13059000100,Age05,count,est,40
13059000100,Age18_24,count,est,2141
13059000100,Age18_64,count,est,2460
13059000100,AgeO65,count,est,39
13059000100,AgeU18,count,est,49
13059000100,Ed_ba,count,est,88
13059000100,Ed_hsgrad,count,est,44
13059000100,Ed_lesshs,count,est,22
13059000100,Ed_ma,count,est,12
13059000100,Ed_prof_doc,count,est,172
13059000100,Ed_somecol,count,est,21
13059000100,Empl_labor,count,est,982
13059000100,Empl_unemp,count,est,80
13059000100,HInsur_FBNat,count,est,60
13059000100,HInsur_FBNC,count,est,39
13059000100,HInsur_Nat,count,est,2267
13059000100,HousOwn,count,est,61
13059000100,HousRent,count,est,2373
13059000100,Inc_10K,count,est,533
13059000100,Inc_200K,count,est,23
13059000100,Inc100K_149K,count,est,43
13059000100,Inc10K_24K,count,est,211
13059000100,Inc150K_199K,count,est,5
13059000100,Inc25K_49K,count,est,125
13059000100,Inc50K_74K,count,est,37
13059000100,Inc75K_99K,count,est,0
13059000100,Ind_ag,count,est,0
13059000100,Ind_arts,count,est,251
13059000100,Ind_const,count,est,5
13059000100,Ind_edhlth,count,est,272
13059000100,Ind_finan,count,est,34
13059000100,Ind_info,count,est,59
13059000100,Ind_manf,count,est,6
13059000100,Ind_other,count,est,51
13059000100,Ind_prof,count,est,151
13059000100,Ind_pubad,count,est,17
13059000100,Ind_retail,count,est,45
13059000100,Ind_trans,count,est,22
13059000100,Ind_whlsl,count,est,0
13059000100,Inet_any,count,est,779
13059000100,Inet_broad,count,est,700
13059000100,Pov_Ov65,count,est,39
13059000100,Pov_Und18,count,est,40
13059000100,Rce_AI,count,est,0
13059000100,Rce_AsnNH,count,est,62
13059000100,Rce_BlkNH,count,est,302
13059000100,Rce_Hisp,count,est,123
13059000100,Rce_HPI,count,est,0
13059000100,Rce_OthNH,count,est,0
13059000100,Rce_WhtNH,count,est,2034
13059000100,Rent30,count,est,630
13059000100,Sch_grad,count,est,220
13059000100,Sch_Kpre,count,est,0
13059000100,Sch_ugrad,count,est,1939
13059000100,Trn_car,count,est,556
13059000100,Trn_carpool,count,est,25
13059000100,Trn_home,count,est,82
13059000100,Trn_noveh,count,est,22
13059000100,Trn_pub,count,est,0
13059000100,Trn_taxi,count,est,0
13059000100,Trn_walk,count,est,143
13059000401,Age05,count,est,91
13059000401,Age18_24,count,est,373
13059000401,Age18_64,count,est,1137
13059000401,AgeO65,count,est,16
13059000401,AgeU18,count,est,168
13059000401,Ed_ba,count,est,375
13059000401,Ed_hsgrad,count,est,18
13059000401,Ed_lesshs,count,est,13
13059000401,Ed_ma,count,est,254
13059000401,Ed_prof_doc,count,est,144
13059000401,Ed_somecol,count,est,47
13059000401,Empl_labor,count,est,824
13059000401,Empl_unemp,count,est,8
13059000401,HInsur_FBNat,count,est,30
13059000401,HInsur_FBNC,count,est,481
13059000401,HInsur_Nat,count,est,707
13059000401,HousOwn,count,est,27
13059000401,HousRent,count,est,1182
13059000401,Inc_10K,count,est,168
13059000401,Inc_200K,count,est,0
13059000401,Inc100K_149K,count,est,13
13059000401,Inc10K_24K,count,est,209
13059000401,Inc150K_199K,count,est,10
13059000401,Inc25K_49K,count,est,165
13059000401,Inc50K_74K,count,est,83
13059000401,Inc75K_99K,count,est,75
13059000401,Ind_ag,count,est,0
13059000401,Ind_arts,count,est,48
13059000401,Ind_const,count,est,5
13059000401,Ind_edhlth,count,est,499
13059000401,Ind_finan,count,est,0
13059000401,Ind_info,count,est,5
13059000401,Ind_manf,count,est,9
13059000401,Ind_other,count,est,11
13059000401,Ind_prof,count,est,163
13059000401,Ind_pubad,count,est,8
13059000401,Ind_retail,count,est,48
13059000401,Ind_trans,count,est,22
13059000401,Ind_whlsl,count,est,0
13059000401,Inet_any,count,est,502
13059000401,Inet_broad,count,est,477
13059000401,Pov_Ov65,count,est,16
13059000401,Pov_Und18,count,est,168
13059000401,Rce_AI,count,est,0
13059000401,Rce_AsnNH,count,est,433
13059000401,Rce_BlkNH,count,est,82
13059000401,Rce_Hisp,count,est,189
13059000401,Rce_HPI,count,est,0
13059000401,Rce_OthNH,count,est,0
13059000401,Rce_WhtNH,count,est,560
13059000401,Rent30,count,est,386
13059000401,Sch_grad,count,est,445
13059000401,Sch_Kpre,count,est,20
13059000401,Sch_ugrad,count,est,224
13059000401,Trn_car,count,est,324
13059000401,Trn_carpool,count,est,40
13059000401,Trn_home,count,est,80
13059000401,Trn_noveh,count,est,95
13059000401,Trn_pub,count,est,226
13059000401,Trn_taxi,count,est,36
13059000401,Trn_walk,count,est,43
13059000402,Age05,count,est,13
13059000402,Age18_24,count,est,4737
13059000402,Age18_64,count,est,8538
13059000402,AgeO65,count,est,4
13059000402,AgeU18,count,est,37
13059000402,Ed_ba,count,est,52
13059000402,Ed_hsgrad,count,est,29
13059000402,Ed_lesshs,count,est,4
13059000402,Ed_ma,count,est,40
13059000402,Ed_prof_doc,count,est,4
13059000402,Ed_somecol,count,est,60
13059000402,Empl_labor,count,est,2329
13059000402,Empl_unemp,count,est,528
13059000402,HInsur_FBNat,count,est,243
13059000402,HInsur_FBNC,count,est,195
13059000402,HInsur_Nat,count,est,7635
13059000402,HousOwn,count,est,0
13059000402,HousRent,count,est,560
13059000402,Inc_10K,count,est,190
13059000402,Inc_200K,count,est,0
13059000402,Inc100K_149K,count,est,0
13059000402,Inc10K_24K,count,est,73
13059000402,Inc150K_199K,count,est,0
13059000402,Inc25K_49K,count,est,46
13059000402,Inc50K_74K,count,est,16
13059000402,Inc75K_99K,count,est,0
13059000402,Ind_ag,count,est,22
