variable,description,source
Age05,Age under 5 years,"American Community Survey, 5 year sample, 2016-2020"
Age18_24,Age 18-64,"American Community Survey, 5 year sample, 2016-2020"
AgeO65,Age 65 and older,"American Community Survey, 5 year sample, 2016-2020"
AgeU18,Age under 18,"American Community Survey, 5 year sample, 2016-2020"
Ed_ba,Highest educational attainment: Bachelor's degree,"American Community Survey, 5 year sample, 2016-2020"
Ed_hsgrad,Highest educational attainment: High school diploma or GED,"American Community Survey, 5 year sample, 2016-2020"
Ed_lesshs,Highest educational attainment: Less than high school graduate,"American Community Survey, 5 year sample, 2016-2020"
Ed_ma,Highest educational attainment: MA degree,"American Community Survey, 5 year sample, 2016-2020"
Ed_prof_doc,Highest educational attainment: Professional degree/Doctorate,"American Community Survey, 5 year sample, 2016-2020"
Ed_somecol,Highest educational attainment: Some college or Associate's Degree,"American Community Survey, 5 year sample, 2016-2020"
Ed_totpop,Total pop for education (>age 25),"American Community Survey, 5 year sample, 2016-2020"
Ed_totpop2,Total population for ed table pt. 2 (higher ed),"American Community Survey, 5 year sample, 2016-2020"
Empl_labor,Population in labor force,"American Community Survey, 5 year sample, 2016-2020"
Empl_total,Total pop for education (>age 25),"American Community Survey, 5 year sample, 2016-2020"
Empl_unemp,Population unemployed,"American Community Survey, 5 year sample, 2016-2020"
HInsur_FBNat,Has health insurance foreign born and naturalized,"American Community Survey, 5 year sample, 2016-2020"
HInsur_FBNC,Has health insurance foreign born non-citizen,"American Community Survey, 5 year sample, 2016-2020"
HInsur_Nat,Has health insurance native born,"American Community Survey, 5 year sample, 2016-2020"
HousOwn,Population in owner occupied housing,"American Community Survey, 5 year sample, 2016-2020"
HousPop,Total pop for housing,"American Community Survey, 5 year sample, 2016-2020"
HousRent,Population in renter occupied housing,"American Community Survey, 5 year sample, 2016-2020"
HousUnits,Population for education (>age 25),"American Community Survey, 5 year sample, 2016-2020"
Inc_10K,"Household income < $10,000","American Community Survey, 5 year sample, 2016-2020"
Inc_200K,"Household income > $200,000","American Community Survey, 5 year sample, 2016-2020"
Inc_totpop,Total pop for income,"American Community Survey, 5 year sample, 2016-2020"
Inc100K_149K,"Household income $100,000 - $149,999","American Community Survey, 5 year sample, 2016-2020"
Inc10K_24K,"Household income $10,000 - $24,999","American Community Survey, 5 year sample, 2016-2020"
Inc150K_199K,"Houshold income $150,000 - $199,999","American Community Survey, 5 year sample, 2016-2020"
Inc25K_49K,"Household income $25,000 - $49,999","American Community Survey, 5 year sample, 2016-2020"
Inc50K_74K,"Household income $50,000 - $74,999","American Community Survey, 5 year sample, 2016-2020"
Inc75K_99K,"Houshold income $75,000 - $99,999","American Community Survey, 5 year sample, 2016-2020"
