REALKEY,PARCEL_NO,SALELAND1,SALEIMP1,SALEIMP2,SALE_VAL,CURR_VAL,A_VALUE,P_VALUE,2022 Total,2022 Land,2022 Imp
1,012    002,0,0,0,0,276780,0,276780,276780,276780,0
44695,012    002A,0,0,0,0,23375,0,23375,23375,23375,0
2,012    003,0,0,0,0,497328,0,497328,497328,497328,0
3,012    003A,0,0,0,0,121146,37530,0,121146,37530,83616
31339,012    003B,0,0,0,0,394831,64000,0,394831,64000,330831
43604,012    003C,0,0,0,0,142422,41850,0,142422,41850,100572
4,012    004,0,0,0,0,133979,26000,0,133979,26000,107979
5,012    004A,0,0,0,0,152516,28390,0,152516,28390,124126
6,012    004B,0,0,0,0,779350,300300,0,779350,300300,479050
7,012    004C,0,0,0,0,113992,22100,0,113992,22100,91892
44452,012    004D,0,0,0,0,600023,10340,168025,600023,178365,421658
44470,012    004E,0,0,0,0,23205,23205,0,23205,23205,0
44563,012    004F,0,0,0,0,601832,149040,0,601832,149040,452792
8,012    005,0,0,0,0,166739,117990,0,166739,117990,48749
9,012    005A,0,0,0,0,78211,26000,0,78211,26000,52211
10,012    005B,0,0,0,0,129387,26000,0,129387,26000,103387
11,012    008,0,0,0,0,21870,21870,0,21870,21870,0
12,012A   001,0,0,0,0,197438,30000,0,197438,30000,167438
13,012A   002,0,0,0,0,161048,30000,0,161048,30000,131048
14,012A   003,0,0,0,0,160162,30000,0,160162,30000,130162
15,012A   004,0,0,0,0,207714,30000,0,207714,30000,177714
16,012A   005,0,0,0,0,166420,30000,0,166420,30000,136420
17,012A   006,0,0,0,0,159562,30000,0,159562,30000,129562
18,012A   006A,0,0,0,0,500,500,0,500,500,0
19,012A   007,0,0,0,0,207587,30000,0,207587,30000,177587
20,012A   008,0,0,0,0,175635,30000,0,175635,30000,145635
21,012A   009,0,0,0,0,176680,30000,0,176680,30000,146680
22,024    001,0,0,0,0,306621,15000,126600,306621,141600,165021
23,024    002,0,0,0,0,116400,0,116400,116400,116400,0
24,024    003,0,0,0,0,109053,32500,0,109053,32500,76553
25,024    004,0,0,0,0,185425,28600,0,185425,28600,156825
26,024    005,0,0,0,0,25220,25220,0,25220,25220,0
27,024    006,30000,0,2551,32551,33101,30550,0,32551,30000,2551
28,024    007,0,0,0,0,37774,26000,0,37774,26000,11774
29,024    008,0,0,0,0,51376,44875,0,51376,44875,6501
30,024    008A,0,0,0,0,207565,26000,0,207565,26000,181565
31,024    009,0,0,0,0,89967,26000,0,89967,26000,63967
32,024    009A,0,0,0,0,226553,26000,0,226553,26000,200553
33,024    010,0,0,0,0,89300,26000,0,89300,26000,63300
34,024    011,37000,0,122505,159505,160005,37500,0,159505,37000,122505
35,024    012,0,0,0,0,146529,26000,0,146529,26000,120529
36,024    012A,0,0,0,0,51297,26000,0,51297,26000,25297
37,024    012B,0,0,0,0,73581,26000,0,73581,26000,47581
38,024    012C,0,0,0,0,26000,26000,0,26000,26000,0
39,024    012D,0,0,0,0,26000,26000,0,26000,26000,0
40,024    012E,0,0,0,0,26000,26000,0,26000,26000,0
41,024    012F,0,0,0,0,26000,26000,0,26000,26000,0
42,024    012G,0,0,0,0,26000,26000,0,26000,26000,0
43,024    012H,0,0,0,0,26000,26000,0,26000,26000,0
44,024    012J,0,0,0,0,26000,26000,0,26000,26000,0
45,024    012K,0,0,0,0,26000,26000,0,26000,26000,0
31687,024    013,0,0,0,0,12838,12838,0,12838,12838,0
46,031    001,0,0,0,0,492172,480414,0,492172,480414,11758
47,032    001,0,0,0,0,477935,15000,278775,477935,293775,184160
48,032    001A,0,0,0,0,7616,7616,0,7616,7616,0
49,032    001B,0,0,0,0,6375,6375,0,6375,6375,0
50,032    001C,0,0,0,0,169375,159375,0,169375,159375,10000
51,032    001D,0,0,0,0,371434,0,84480,371434,84480,286954
44557,032    001E,0,0,0,0,19168,0,19168,19168,19168,0
52,032    002,0,0,0,0,245604,78204,0,245604,78204,167400
53,032    002A,0,0,0,0,191294,26000,0,191294,26000,165294
54,032    002B,0,0,0,0,162228,26000,0,162228,26000,136228
31113,032    002C,0,0,0,0,480547,162773,0,480547,162773,317774
56,032    005,0,0,0,0,519360,0,519360,519360,519360,0
57,032    005A,0,0,0,0,113392,0,113392,113392,113392,0
58,032    005B,0,0,0,0,13000,13000,0,13000,13000,0
59,032    005C,0,0,0,0,402414,78000,0,402414,78000,324414
60,032    005D,0,0,0,0,26000,26000,0,26000,26000,0
62,032    005F,0,0,0,0,227486,74250,0,227486,74250,153236
63,032    005G,0,0,0,0,427725,0,427725,427725,427725,0
64,032    005H,0,0,0,0,538007,12500,190625,538007,203125,334882
65,032    005J,0,0,0,0,13000,13000,0,13000,13000,0
66,032    006,0,0,0,0,396252,396252,0,396252,396252,0
32649,032    006A,0,0,0,0,50000,50000,0,50000,50000,0
31050,032A1 A001,0,0,0,0,221155,67925,0,221155,67925,153230
31051,032A1 A002,0,0,0,0,49481,49481,0,49481,49481,0
45265,032A1 A002A,0,0,0,0,65519,0,0,65519,0,65519
31052,032A1 A003,50000,0,0,50000,74100,74100,0,50000,50000,0
31053,032A1 A004,0,0,0,0,194982,69875,0,194982,69875,125107
31054,032A1 A005,0,0,0,0,296606,68900,0,296606,68900,227706
31055,032A1 A006,0,0,0,0,171224,66625,0,171224,66625,104599
31056,032A1 A007,0,0,0,0,213711,68250,0,213711,68250,145461
31058,032A1 A009,0,0,0,0,346639,135525,0,346639,135525,211114
31059,032A1 A010,0,0,0,0,250442,68575,0,250442,68575,181867
31060,032A1 A011,0,0,0,0,244016,68575,0,244016,68575,175441
31061,032A1 A011A,0,0,0,0,100,100,0,100,100,0
31062,032A1 A012,0,0,0,0,305602,68900,0,305602,68900,236702
31063,032A1 A013,0,0,0,0,269072,70200,0,269072,70200,198872
31065,032A1 A014,0,0,0,0,202016,76050,0,202016,76050,125966
31066,032A1 A015,0,0,0,0,385739,68575,0,385739,68575,317164
31067,032A1 A016,0,0,0,0,502647,92625,0,502647,92625,410022
32026,032A1 A017,0,0,0,0,367388,102050,0,367388,102050,265338
31701,032A1 A018,0,0,0,0,17200,17200,0,17200,17200,0
31909,032A1 A030,0,0,0,0,386255,80275,0,386255,80275,305980
31910,032A1 A031,0,0,0,0,272327,66625,0,272327,66625,205702
31072,032A1 A032,0,0,0,0,83850,83850,0,83850,83850,0
31073,032A1 A033,0,0,0,0,250597,87425,0,250597,87425,163172
31069,032A1 A099A,0,0,0,0,101,100,0,101,100,1
32027,032A1 A099B,0,0,0,0,100,100,0,100,100,0
31070,032A1 A099C,0,0,0,0,100,100,0,100,100,0
31071,032A1 A099D,0,0,0,0,100,100,0,100,100,0
31068,032A1 B001,0,0,0,0,206893,77025,0,206893,77025,129868
31702,032A1 B002,0,0,0,0,83149,77675,0,83149,77675,5474
32028,032A1 B003,0,0,0,0,308115,89375,0,308115,89375,218740
34971,032A1 B004,0,0,0,0,44200,44200,0,44200,44200,0
34972,032A1 B005,0,0,0,0,43550,43550,0,43550,43550,0
34973,032A1 B006,0,0,0,0,258094,64025,0,258094,64025,194069
34974,032A1 B007,0,0,0,0,117325,117325,0,117325,117325,0
34975,032A1 B008,0,0,0,0,362591,133673,0,362591,133673,228918
34976,032A1 B009,0,0,0,0,379852,138938,0,379852,138938,240914
34977,032A1 B010,0,0,0,0,266728,61425,0,266728,61425,205303
