Customer #,Full Name,DBA Name,Full Primary Address,Full Mailing Address,Work Phone #,NAICS Description
114387,A & D ACCOUNTING AND TAX SERVICE,A & D ACCOUNTING AND TAX SERVICE,365 DEER PARK DR ATHENS  GA 30605,PO BOX 82333 ATHENS  GA 30608,(706) 354-8786,"ACCOUNTING, TAX PREPARATION, BOOKKEEPING, AND PAYROLL SERVICES"
77579,A & M TAX,A & M TAX,150 PIONEER DR ATHENS  GA 30605,150 PIONEER DR ATHENS  GA 30605,(706) 543-0215,"ACCOUNTING, TAX PREPARATION, BOOKKEEPING, AND PAYROLL SERVICES"
133879,ACCOUNTING SOLUTIONS OF ATHENS LLC,ACCOUNTING SOLUTIONS OF ATHENS LLC,251  TAWNYBERRY  DR ATHENS  GA 30606,251  TAWNYBERRY  DR ATHENS  GA 30606,(706) 461-5918,"ACCOUNTING, TAX PREPARATION, BOOKKEEPING, AND PAYROLL SERVICES"
74603,ACCOUNTING/PAYROLL SERVS INC,ACCOUNTING/PAYROLL SERVS INC,105 WHITEHEAD RD STE A-1 ATHENS  GA 30606-1554,105 WHITEHEAD RD STE A-1 ATHENS  GA 30606-1554,(706) 546-6755,"ACCOUNTING, TAX PREPARATION, BOOKKEEPING, AND PAYROLL SERVICES"
132908,ACP ACCOUNTING SERVICES LLC,ACP ACCOUNTING SERVICES LLC,209 BOWDEN LN ATHENS  GA 30606,209 BOWDEN LN ATHENS  GA 30606,(770) 605-9085,"ACCOUNTING, TAX PREPARATION, BOOKKEEPING, AND PAYROLL SERVICES"
94400,ALTERNATIVE TAX SERVICE,ALTERNATIVE TAX SERVICE,1060 W HANCOCK AVE ATHENS  GA 30606,1060 W HANCOCK AVE ATHENS  GA 30606,(706) 461-1178,"ACCOUNTING, TAX PREPARATION, BOOKKEEPING, AND PAYROLL SERVICES"
114209,ATH GROUP LLC,ATH GROUP LLC,400 HAWTHORNE AVE STE 8 ATHENS  GA 30606-2556,1504 SNOW HILL DR LAWRENCEVILLE  GA 30045,(706) 296-3804,"ACCOUNTING, TAX PREPARATION, BOOKKEEPING, AND PAYROLL SERVICES"
74875,CAMPBELL S CPA PC,CAMPBELL S CPA PC,300 THREE OAKS DR ATHENS  GA 30607-2285,300 THREE OAKS DR ATHENS  GA 30607-2285,(706) 613-8195,"ACCOUNTING, TAX PREPARATION, BOOKKEEPING, AND PAYROLL SERVICES"
77968,COLLINS/MOODY AND CO PC,COLLINS/MOODY AND CO PC,455  NEWTON BRIDGE RD ATHENS  GA 30607,PO BOX 709 ATHENS  GA 30603,(706) 543-3493,"ACCOUNTING, TAX PREPARATION, BOOKKEEPING, AND PAYROLL SERVICES"
112776,DENISE MORELAND,C&M SERVICES,485 HUNTINGTON RD 191 ATHENS  GA 30606,485 HUNTINGTON RD 191 ATHENS  GA 30606,(706) 552-1623,"ACCOUNTING, TAX PREPARATION, BOOKKEEPING, AND PAYROLL SERVICES"
