OID_,STATEFP,PLACEFP,PLACENS,GEOID,NAME,NAMELSAD,LSAD,CLASSFP,PCICBSA,PCINECTA,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
0,13,58296,02407051,1358296,Orchard Hill,Orchard Hill town,43,C1,N,N,G4110,A,920671.000000000000000,10065.000000000000000,+33.1851581,-084.2120383
1,13,42425,02404806,1342425,Johns Creek,Johns Creek city,25,C1,N,N,G4110,A,79806158.000000000000000,1375584.000000000000000,+34.0327390,-084.2038476
2,13,54572,02404354,1354572,Nelson,Nelson city,25,C1,N,N,G4110,A,3946800.000000000000000,20965.000000000000000,+34.3788925,-084.3706455
3,13,75272,02406709,1375272,Talking Rock,Talking Rock town,43,C1,N,N,G4110,A,5344623.000000000000000,64637.000000000000000,+34.5292193,-084.4919544
4,13,05344,02403160,1305344,Barnesville,Barnesville city,25,C1,N,N,G4110,A,15732070.000000000000000,123850.000000000000000,+33.0486532,-084.1492844
5,13,24600,02403514,1324600,Duluth,Duluth city,25,C1,N,N,G4110,A,26470837.000000000000000,420684.000000000000000,+34.0015167,-084.1504638
6,13,04644,02403144,1304644,Avondale Estates,Avondale Estates city,25,C1,N,N,G4110,A,3167554.000000000000000,28899.000000000000000,+33.7687314,-084.2647353
7,13,15172,02404027,1315172,Chamblee,Chamblee city,25,C1,N,N,G4110,A,19925110.000000000000000,19482.000000000000000,+33.8811344,-084.3016544
8,13,16544,02404059,1316544,Clarkston,Clarkston city,25,C1,N,N,G4110,A,4777884.000000000000000,36617.000000000000000,+33.8134889,-084.2418503
9,13,23536,02404237,1323536,Doraville,Doraville city,25,C1,N,N,G4110,A,12947995.000000000000000,2936.000000000000000,+33.9083407,-084.2698765
10,13,46860,02404937,1346860,Lithonia,Lithonia city,25,C1,N,N,G4110,A,2403015.000000000000000,2049.000000000000000,+33.7129538,-084.1062000
11,13,61040,02404521,1361040,Pine Lake,Pine Lake city,25,C1,N,N,G4110,A,614409.000000000000000,43791.000000000000000,+33.7907073,-084.2058367
12,13,73816,02405531,1373816,Stone Mountain,Stone Mountain city,25,C1,N,N,G4110,A,4276553.000000000000000,10152.000000000000000,+33.8025800,-084.1717494
13,13,04252,02403139,1304252,Austell,Austell city,25,C1,N,N,G4110,A,15396879.000000000000000,44458.000000000000000,+33.8197659,-084.6437742
14,13,21324,02404179,1321324,Dallas,Dallas city,25,C1,N,N,G4110,A,19116527.000000000000000,92553.000000000000000,+33.9156176,-084.8415562
15,13,10104,02405317,1310104,Braswell,Braswell town,43,C1,N,N,G4110,A,8195469.000000000000000,29939.000000000000000,+33.9835453,-084.9584000
16,13,39076,02404704,1339076,Hiram,Hiram city,25,C1,N,N,G4110,A,10181869.000000000000000,63707.000000000000000,+33.8907940,-084.7505493
17,13,30312,02403623,1330312,Flovilla,Flovilla city,25,C1,N,N,G4110,A,5070826.000000000000000,0.000000000000000,+33.2524061,-083.9029021
18,13,48624,02405047,1348624,McDonough,McDonough city,25,C1,N,N,G4110,A,33287749.000000000000000,420233.000000000000000,+33.4377866,-084.1552818
19,13,73704,02405530,1373704,Stockbridge,Stockbridge city,25,C1,N,N,G4110,A,35480604.000000000000000,314144.000000000000000,+33.5261913,-084.2281861
20,13,47140,02404947,1347140,Locust Grove,Locust Grove city,25,C1,N,N,G4110,A,30019879.000000000000000,490966.000000000000000,+33.3438527,-084.1058207
21,13,01696,02403088,1301696,Alpharetta,Alpharetta city,25,C1,Y,N,G4110,A,69670906.000000000000000,949422.000000000000000,+34.0708663,-084.2726498
22,13,67284,02404651,1367284,Roswell,Roswell city,25,C1,N,N,G4110,A,105481986.000000000000000,3290309.000000000000000,+34.0394530,-084.3509459
23,13,07612,02405255,1307612,Bethlehem,Bethlehem town,43,C1,N,N,G4110,A,6675740.000000000000000,55116.000000000000000,+33.9379478,-083.7099821
24,13,13184,02405378,1313184,Carl,Carl town,43,C1,N,N,G4110,A,2813973.000000000000000,21084.000000000000000,+34.0029518,-083.8140322
25,13,67760,02404661,1367760,Rutledge,Rutledge city,25,C1,N,N,G4110,A,8508087.000000000000000,90706.000000000000000,+33.6256545,-083.6096977
26,13,73312,02405527,1373312,Statham,Statham city,25,C1,N,N,G4110,A,10270257.000000000000000,107628.000000000000000,+33.9627735,-083.6037535
27,13,10132,02403917,1310132,Bremen,Bremen city,25,C1,N,N,G4110,A,27483875.000000000000000,72967.000000000000000,+33.7107648,-085.1518967
28,13,15026,02406249,1315026,Centralhatchee,Centralhatchee town,43,C1,N,N,G4110,A,8486339.000000000000000,0.000000000000000,+33.3688979,-085.1037216
29,13,36472,02403795,1336472,Hapeville,Hapeville city,25,C1,N,N,G4110,A,6231491.000000000000000,0.000000000000000,+33.6608733,-084.4093208
30,13,78324,02405627,1378324,Union City,Union City city,25,C1,N,N,G4110,A,50957899.000000000000000,408906.000000000000000,+33.5938373,-084.5626301
31,13,45488,02404897,1345488,Lawrenceville,Lawrenceville city,25,C1,N,N,G4110,A,35457070.000000000000000,275186.000000000000000,+33.9528754,-083.9922307
32,13,55776,02404384,1355776,Norcross,Norcross city,25,C1,N,N,G4110,A,15931626.000000000000000,61294.000000000000000,+33.9373937,-084.2056338
33,13,74180,02405538,1374180,Sugar Hill,Sugar Hill city,25,C1,N,N,G4110,A,28815684.000000000000000,95641.000000000000000,+34.0859756,-084.0339198
34,13,11616,02403946,1311616,Buchanan,Buchanan city,25,C1,N,N,G4110,A,3857741.000000000000000,543897.000000000000000,+33.8005300,-085.1798088
35,13,75832,02405576,1375832,Temple,Temple city,25,C1,N,N,G4110,A,17636045.000000000000000,234408.000000000000000,+33.7332448,-085.0272953
36,13,32384,02406554,1332384,Gay,Gay town,43,C1,N,N,G4110,A,2237942.000000000000000,2511.000000000000000,+33.0957569,-084.5793654
37,13,35016,02403751,1335016,Greenville,Greenville city,25,C1,N,N,G4110,A,6071319.000000000000000,37518.000000000000000,+33.0309289,-084.7163310
38,13,48008,02404976,1348008,Luthersville,Luthersville city,25,C1,N,N,G4110,A,8193919.000000000000000,58817.000000000000000,+33.2096262,-084.7443021
39,13,80480,02405672,1380480,Warm Springs,Warm Springs city,25,C1,N,N,G4110,A,3887284.000000000000000,89329.000000000000000,+32.8871955,-084.6786242
40,13,83896,02405781,1383896,Woodbury,Woodbury city,25,C1,N,N,G4110,A,5357978.000000000000000,77328.000000000000000,+32.9852176,-084.5820150
