GEOID,est,var,description,source,type,moe
13059000100,408.2942792501616,med_bldg_ppsqft_2020,Median Building Price per Square Foot in 2020,Athens-Clarke County Tax Assessor Property Sales Data 2021,count,0
13059000401,114.0704584040747,med_bldg_ppsqft_2020,Median Building Price per Square Foot in 2020,Athens-Clarke County Tax Assessor Property Sales Data 2021,count,0
13059000402,196.3483234945804,med_bldg_ppsqft_2020,Median Building Price per Square Foot in 2020,Athens-Clarke County Tax Assessor Property Sales Data 2021,count,0
13059000600,232.8108263986158,med_bldg_ppsqft_2020,Median Building Price per Square Foot in 2020,Athens-Clarke County Tax Assessor Property Sales Data 2021,count,0
13059000900,142.85714285714286,med_bldg_ppsqft_2020,Median Building Price per Square Foot in 2020,Athens-Clarke County Tax Assessor Property Sales Data 2021,count,0
13059001200,168.7832012145403,med_bldg_ppsqft_2020,Median Building Price per Square Foot in 2020,Athens-Clarke County Tax Assessor Property Sales Data 2021,count,0
13059001700,119.31818181818181,med_bldg_ppsqft_2020,Median Building Price per Square Foot in 2020,Athens-Clarke County Tax Assessor Property Sales Data 2021,count,0
13059001800,229.7843665768194,med_bldg_ppsqft_2020,Median Building Price per Square Foot in 2020,Athens-Clarke County Tax Assessor Property Sales Data 2021,count,0
13059001900,175.23012932965065,med_bldg_ppsqft_2020,Median Building Price per Square Foot in 2020,Athens-Clarke County Tax Assessor Property Sales Data 2021,count,0
13059002000,207.10059171597632,med_bldg_ppsqft_2020,Median Building Price per Square Foot in 2020,Athens-Clarke County Tax Assessor Property Sales Data 2021,count,0
13059002100,279.63011766939405,med_bldg_ppsqft_2020,Median Building Price per Square Foot in 2020,Athens-Clarke County Tax Assessor Property Sales Data 2021,count,0
13059002200,156.36822194199243,med_bldg_ppsqft_2020,Median Building Price per Square Foot in 2020,Athens-Clarke County Tax Assessor Property Sales Data 2021,count,0
13059030101,162.71739373102338,med_bldg_ppsqft_2020,Median Building Price per Square Foot in 2020,Athens-Clarke County Tax Assessor Property Sales Data 2021,count,0
