School,est,var,description,type
Alps Road,137.2867587327376,med_bldg_ppsqft_2020,Median Building Price per Square Foot in 2020,count
Barnett Shoals,129.46058091286307,med_bldg_ppsqft_2020,Median Building Price per Square Foot in 2020,count
Barrow,225.12729879375124,med_bldg_ppsqft_2020,Median Building Price per Square Foot in 2020,count
Chase Street,175.23012932965065,med_bldg_ppsqft_2020,Median Building Price per Square Foot in 2020,count
Choice Zone-East,108.81696428571429,med_bldg_ppsqft_2020,Median Building Price per Square Foot in 2020,count
Choice Zone-West,129.00815217391303,med_bldg_ppsqft_2020,Median Building Price per Square Foot in 2020,count
Cleveland Road,114.82265749073584,med_bldg_ppsqft_2020,Median Building Price per Square Foot in 2020,count
Fowler Drive,112.63157894736842,med_bldg_ppsqft_2020,Median Building Price per Square Foot in 2020,count
Gaines,124.95719178082192,med_bldg_ppsqft_2020,Median Building Price per Square Foot in 2020,count
Howard B Stroud,162.98249567914317,med_bldg_ppsqft_2020,Median Building Price per Square Foot in 2020,count
Judia Jackson Harris,116.10658838982891,med_bldg_ppsqft_2020,Median Building Price per Square Foot in 2020,count
Oglethorpe,129.42779291553134,med_bldg_ppsqft_2020,Median Building Price per Square Foot in 2020,count
Timothy Rd.,123.25,med_bldg_ppsqft_2020,Median Building Price per Square Foot in 2020,count
Whit Davis,115.78521533034684,med_bldg_ppsqft_2020,Median Building Price per Square Foot in 2020,count
Whitehead Rd.,117.61470738769953,med_bldg_ppsqft_2020,Median Building Price per Square Foot in 2020,count
Winterville,115.15151515151516,med_bldg_ppsqft_2020,Median Building Price per Square Foot in 2020,count
Alps Road,98.2826206663432,med_change_2000to2020_p,Percent Change in Median Building Price per Sq Ft 2000-2020,pct
Barnett Shoals,80.29618034531117,med_change_2000to2020_p,Percent Change in Median Building Price per Sq Ft 2000-2020,pct
Barrow,188.1629424560016,med_change_2000to2020_p,Percent Change in Median Building Price per Sq Ft 2000-2020,pct
Chase Street,168.3524266305507,med_change_2000to2020_p,Percent Change in Median Building Price per Sq Ft 2000-2020,pct
Choice Zone-East,82.99016034985424,med_change_2000to2020_p,Percent Change in Median Building Price per Sq Ft 2000-2020,pct
Choice Zone-West,827.7607539315449,med_change_2000to2020_p,Percent Change in Median Building Price per Sq Ft 2000-2020,pct
Cleveland Road,63.751970633918745,med_change_2000to2020_p,Percent Change in Median Building Price per Sq Ft 2000-2020,pct
Fowler Drive,218.0185758513932,med_change_2000to2020_p,Percent Change in Median Building Price per Sq Ft 2000-2020,pct
Gaines,168.63440401435216,med_change_2000to2020_p,Percent Change in Median Building Price per Sq Ft 2000-2020,pct
Howard B Stroud,195.36419625118194,med_change_2000to2020_p,Percent Change in Median Building Price per Sq Ft 2000-2020,pct
Judia Jackson Harris,86.41493874283731,med_change_2000to2020_p,Percent Change in Median Building Price per Sq Ft 2000-2020,pct
Oglethorpe,133.756443953096,med_change_2000to2020_p,Percent Change in Median Building Price per Sq Ft 2000-2020,pct
Timothy Rd.,74.2782233502538,med_change_2000to2020_p,Percent Change in Median Building Price per Sq Ft 2000-2020,pct
Whit Davis,81.77128915497536,med_change_2000to2020_p,Percent Change in Median Building Price per Sq Ft 2000-2020,pct
Whitehead Rd.,84.17962688797202,med_change_2000to2020_p,Percent Change in Median Building Price per Sq Ft 2000-2020,pct
Winterville,75.46174142480213,med_change_2000to2020_p,Percent Change in Median Building Price per Sq Ft 2000-2020,pct
Alps Road,87.2319012889309,med_change_2010to2020_p,Percent Change in Median Building Price per Sq Ft 2010-2020,pct
Barnett Shoals,44.99585062240662,med_change_2010to2020_p,Percent Change in Median Building Price per Sq Ft 2010-2020,pct
Barrow,88.0502362675209,med_change_2010to2020_p,Percent Change in Median Building Price per Sq Ft 2010-2020,pct
Chase Street,116.39105190815636,med_change_2010to2020_p,Percent Change in Median Building Price per Sq Ft 2010-2020,pct
