fips_tct,SchoolID,School,estct_pop,tct_pop,popratio
13059000100,3,Barrow,3167,3167,1
13059000401,3,Barrow,1822,1822,1
13059000402,3,Barrow,7400,7400,1
13059000600,1,Alps Road,367,2679,0.137
13059000600,3,Barrow,1425,2679,0.5319
13059000600,5,Chase Street,887,2679,0.3311
13059000900,1,Alps Road,2914,3661,0.796
13059000900,5,Chase Street,747,3661,0.204
13059001200,1,Alps Road,2061,3060,0.6735
13059001200,3,Barrow,999,3060,0.3265
13059001700,1,Alps Road,26,2034,0.0128
13059001700,5,Chase Street,97,2034,0.0477
13059001700,12,Oglethorpe,1911,2034,0.9395
13059001800,5,Chase Street,2490,2490,1
13059001900,3,Barrow,1016,3591,0.2829
13059001900,5,Chase Street,2556,3591,0.7118
13059001900,9,Howard B Stroud,19,3591,0.0053
13059002000,1,Alps Road,1098,1950,0.5631
13059002000,3,Barrow,852,1950,0.4369
13059002100,3,Barrow,3870,3870,1
13059002200,3,Barrow,2671,2671,1
13059030101,9,Howard B Stroud,3029,3029,1
13059030102,9,Howard B Stroud,3217,3217,1
13059030200,8,Gaines,4714,4734,0.9958
13059030200,9,Howard B Stroud,20,4734,0.0042
13059130300,4,Choice Zone-West,5107,5532,0.9232
13059130300,5,Chase Street,425,5532,0.0768
13059130400,15,Whitehead Rd.,6291,6291,1
13059130500,6,Cleveland Road,1437,2832,0.5074
13059130500,12,Oglethorpe,1395,2832,0.4926
13059130601,6,Cleveland Road,2065,4022,0.5134
13059130601,12,Oglethorpe,1923,4022,0.4781
13059130601,13,Timothy Rd.,34,4022,0.0085
13059130602,13,Timothy Rd.,2898,2898,1
13059130701,13,Timothy Rd.,4011,4011,1
13059130702,6,Cleveland Road,1951,2947,0.662
13059130702,13,Timothy Rd.,996,2947,0.338
13059140300,7,Fowler Drive,3952,5151,0.7672
13059140300,10,Judia Jackson Harris,1175,5151,0.2281
13059140300,NA,NA,24,5151,0.0047
13059140400,7,Fowler Drive,940,3537,0.2658
13059140400,10,Judia Jackson Harris,2597,3537,0.7342
13059140500,7,Fowler Drive,19,2113,0.009
13059140500,9,Howard B Stroud,1391,2113,0.6583
13059140500,16,Winterville,703,2113,0.3327
13059140600,16,Winterville,5036,5036,1
13059150300,1,Alps Road,129,3861,0.0334
13059150300,13,Timothy Rd.,3732,3861,0.9666
13059150400,2,Barnett Shoals,2924,5100,0.5733
13059150400,3,Barrow,2176,5100,0.4267
13059150500,2,Barnett Shoals,5285,5285,1
13059150600,8,Gaines,2351,4089,0.575
13059150600,11,Choice Zone-East,1738,4089,0.425
13059150701,8,Gaines,148,4928,0.03
13059150701,11,Choice Zone-East,4780,4928,0.97
13059150702,14,Whit Davis,1439,1439,1
13059150800,2,Barnett Shoals,1793,5939,0.3019
13059150800,11,Choice Zone-East,682,5939,0.1148
13059150800,14,Whit Davis,3464,5939,0.5833
13059150900,2,Barnett Shoals,2850,4285,0.6651
13059150900,14,Whit Davis,1084,4285,0.253
13059150900,16,Winterville,351,4285,0.0819
